Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
29,tt11514868,2025-01-09,2025-01-09,,"The Perfect Couple","The Perfect Couple",https://www.imdb.com/title/tt11514868/,TV Mini Series,6.5,60,2024,"Crime, Drama, Mystery",56649,2024-09-05,,,
30,tt8962124,2025-01-09,2025-01-09,,"Emily in Paris","Emily in Paris",https://www.imdb.com/title/tt8962124/,TV Series,6.8,30,2020,"Comedy, Drama, Romance",128620,2020-10-02,,,
31,tt4481414,2025-01-09,2025-01-09,,"Gifted","Gifted",https://www.imdb.com/title/tt4481414/,Movie,7.6,101,2017,"Drama",145547,2017-04-12,"Marc Webb",,
32,tt7131720,2025-01-09,2025-01-09,,"Kakegurui","Kakegurui",https://www.imdb.com/title/tt7131720/,TV Series,7.1,24,2017,"Animation, Drama, Mystery, Thriller",14284,2018-02-01,,,
33,tt21344706,2025-01-09,2025-01-09,,"The Glory","Deo geullori",https://www.imdb.com/title/tt21344706/,TV Series,8.1,50,2022,"Drama, Mystery, Thriller",33947,2022-12-30,,,
34,tt4196566,2025-01-09,2025-01-09,,"The Deliverance","The Deliverance",https://www.imdb.com/title/tt4196566/,Movie,5.1,112,2024,"Horror, Thriller",20967,2024-08-30,"Lee Daniels",,
35,tt8550732,2025-01-09,2025-01-09,,"Kaos","Kaos",https://www.imdb.com/title/tt8550732/,TV Series,7.4,60,2024,"Comedy, Drama, Fantasy",39065,2024-08-29,,,
36,tt1966500,2025-01-09,2025-01-09,,"Korkunç Süphe","Korkunç Süphe",https://www.imdb.com/title/tt1966500/,Movie,6.6,60,1976,"Adventure, Crime, Mystery",15,1976,"Çetin Inanç",,
37,tt13274016,2025-01-09,2025-01-09,,"Reptile","Reptile",https://www.imdb.com/title/tt13274016/,Movie,6.8,134,2023,"Crime, Drama, Mystery, Thriller",100005,2023-09-29,"Grant Singer",,
38,tt26767508,2025-01-09,2025-01-09,,"The Frog","Amudo Eobsneun Supsokeseo",https://www.imdb.com/title/tt26767508/,TV Series,6.8,60,2024,"Crime, Drama, Mystery, Thriller",4392,2024-08-23,,,
